-5 2
-5 -2
-4.9 1.97484
-4.9 -1.97484
-4.8 1.94936
-4.8 -1.94936
-4.7 1.92354
-4.7 -1.92354
-4.6 1.89737
-4.6 -1.89737
-4.5 1.87083
-4.5 -1.87083
-4.4 1.84391
-4.4 -1.84391
-4.3 1.81659
-4.3 -1.81659
-4.2 1.78885
-4.2 -1.78885
-4.1 1.76068
-4.1 -1.76068
-4 1.73205
-4 -1.73205
-3.9 1.70294
-3.9 -1.70294
-3.8 1.67332
-3.8 -1.67332
-3.7 1.64317
-3.7 -1.64317
-3.6 1.61245
-3.6 -1.61245
-3.5 1.58114
-3.5 -1.58114
-3.4 1.54919
-3.4 -1.54919
-3.3 1.51658
-3.3 -1.51658
-3.2 1.48324
-3.2 -1.48324
-3.1 1.44914
-3.1 -1.44914
-3 1.41421
-3 -1.41421
-2.9 1.3784
-2.9 -1.3784
-2.8 1.34164
-2.8 -1.34164
-2.7 1.30384
-2.7 -1.30384
-2.6 1.26491
-2.6 -1.26491
-2.5 1.22474
-2.5 -1.22474
-2.4 1.18322
-2.4 -1.18322
-2.3 1.14018
-2.3 -1.14018
-2.2 1.09545
-2.2 -1.09545
-2.1 1.04881
-2.1 -1.04881
-2 1
-2 -1
-1.9 0.948683
-1.9 -0.948683
-1.8 0.894427
-1.8 -0.894427
-1.7 0.83666
-1.7 -0.83666
-1.6 0.774597
-1.6 -0.774597
-1.5 0.707107
-1.5 -0.707107
-1.4 0.632456
-1.4 -0.632456
-1.3 0.547723
-1.3 -0.547723
-1.2 0.447214
-1.2 -0.447214
-1.1 0.316228
-1.1 -0.316228
-1 0.00149736
-1 -0.00149736
-0.9 4.66604e-15
-0.9 -4.66604e-15
-0.8 2.55078e-13
-0.8 -2.55078e-13
-0.7 1.99923e-08
-0.7 -1.99923e-08
-0.6 1.62036e-12
-0.6 -1.62036e-12
-0.5 1.04524e-17
-0.5 -1.04524e-17
-0.4 1.16142e-08
-0.4 -1.16142e-08
-0.3 1.33493e-11
-0.3 -1.33493e-11
-0.2 6.46603e-16
-0.2 -6.46603e-16
-0.1 1.32349e-23
-0.1 -1.32349e-23
-1.02696e-15 0
-1.02696e-15 0
